,nombre,categoria,seccion,descripcion,dimensiones,imagen
3496,MC41,Macetero,Salón  ,Macetero redondo torneado raíz,23x23x92 (cm),https://atrezzovazquez.es/admin/img_prod/MC41/MC41-1-720x540.png
3497,ME41,Mesilla,Dormitorio  Inglesa  ,Mesilla inglesa caoba puerta y marquetería,44x38x85 (cm),https://atrezzovazquez.es/admin/img_prod/ME41/ME41-1-720x540.png
3498,VET41,Ventilador,,Ventilador de suelo caja blanca,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/VET41/VET41-720x540.png
3499,REL41,Reloj,Despacho  ,Reloj de mesa bronce y mármol figura rinoceronte,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/REL41/REL41-720x540.png
3500,TEL41,Telefonía,,Teléfono-fax negro,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/TEL41/TLF41-720x540.png
3501,MYN41,Maletas y neceseres de viaje,Viaje  ,Maleta lona azul,60x40x25 (cm),https://atrezzovazquez.es/admin/img_prod/MYN41/MYN41-720x540.png
3502,JUG41,Juguetes,Juguete  ,Combas y saltadores antiguos,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JUG41/JUG41-720x540.png
3503,JAR41,Jarrones y jarras,Adorno  Decoración  Salón  ,Jarrón bola Talavera verde dibujos,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JAR41/JAR41-720x540.png
3504,MYS41,Tocadiscos y altavoces,Electrónica  Musica  Sonido  ,Amplificador caja madera Sansui,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MYS41/MYS41-720x540.png
3505,ML41,Librería,Descatalogado  ,descatalogado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/ML41/LOGOTIPO VAZQUEZ- 720x540.png
3506,MED41,Atrezzo medicina,Hospital  Medicina  ,Frascos de laboratorio antiguos cristal tapón cristal pequeños,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MED41/MED41-720x540.png
3507,HOS41,Hospitales,Hospital  Medicina  ,Carro de hospital madera pintado blanco,60x34x74 (cm),https://atrezzovazquez.es/admin/img_prod/HOS41/HOS41-1-720x540.png
3508,VAA41,Atrezzo vario,Descatalogado  ,DESCATOLOGADO,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/VAA41/LOGOTIPO VAZQUEZ- 720x540.png
3509,RAD41,Radios,,Radio antigua capilla reproducción,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/RAD41/RAD41-720x540.png
3510,SI41,Sillón,Salón  Tresillo  ,SILLÓN ROLLO TAPIZADO TELA TAPIZ,70x60x77 (cm),https://atrezzovazquez.es/admin/img_prod/SI41/SI41-1-720x540.png
3511,MV41,Muebles varios,Casillero  Hotel  ,Casillero de hotel oscuro,63x20x60 (cm),https://atrezzovazquez.es/admin/img_prod/MV41/MV41-1-720x540.png
3512,SIL41,Silla,Comedor  Isabelino  Salón  ,Silla isabelina respaldo capitoné tapizada,51x50x95 (cm),https://atrezzovazquez.es/admin/img_prod/SIL41/SIL41-1-720x540.png
3513,S41,Sofá,Salón  Tresillo  ,Sofá rollo tapizado tela tapiz,130x60x90 (cm),https://atrezzovazquez.es/admin/img_prod/S41/S41-1-720x540.png
3514,TYV41,Televisores y vídeos,Televisor  ,"Televisión portátil caja crema Lavis 14""",40x30x27 (cm),https://atrezzovazquez.es/admin/img_prod/TYV41/TYV41-1-720x540.png
3515,PV41,Pie de vela,Candelero  ,Candelero bajo niquelado,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/PV41/PV41-720x540.png
3516,TP41,Tapices y estandartes,Salón  ,Tapiz bordado paisaje vertical,70x0x150 (cm),https://atrezzovazquez.es/admin/img_prod/TP41/TP41-720x540.png
3517,PER41,Perchero,Americano  Dormitorio  ,Perchero de pie madera 6 boliches,40x40x173 (cm),https://atrezzovazquez.es/admin/img_prod/PER41/PER41-720x540.png
3518,CDM41,Centro de mesa,,Centro de mesa de madera diferentes modelos,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/CDM41/CDM41-720x540.png
3519,FIG41,Figuras,Adorno  ,Figura de paja pájaro,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/FIG41/FIG41-720x540.png
3520,PLA41,Playa,Sombrillas  ,Sombrilla tela blanca,0x160x0 (cm),https://atrezzovazquez.es/admin/img_prod/PLA41/PLA41-720x540.png
